time(s),nformants,F1(Hz),B1(Hz),F2(Hz),B2(Hz),F3(Hz),B3(Hz),F4(Hz),B4(Hz),F5(Hz),B5(Hz)
0.300000,4,1654.031,38.121,2033.287,93.926,2641.511,159.266,3902.692,606.673,--undefined--,--undefined--
0.305000,4,1649.509,49.394,1971.746,77.907,2652.577,254.465,3726.107,610.314,--undefined--,--undefined--
0.310000,4,1656.746,86.244,2016.214,70.642,2608.975,190.533,3661.316,1013.243,--undefined--,--undefined--
0.315000,4,1666.595,34.748,2057.218,56.721,2649.276,134.826,3922.077,1679.230,--undefined--,--undefined--
0.320000,4,1661.276,20.395,1995.356,23.011,2627.446,134.464,3722.601,1362.025,--undefined--,--undefined--
0.325000,4,1648.059,25.357,1953.567,13.360,2584.919,165.001,3501.180,1004.411,--undefined--,--undefined--
0.330000,4,1654.729,46.943,1946.710,9.190,2484.640,265.108,3610.598,959.766,--undefined--,--undefined--
0.335000,4,1661.040,22.683,1941.134,7.316,2468.148,227.023,3590.420,679.448,--undefined--,--undefined--
0.340000,4,1652.261,13.358,1933.180,9.196,2459.096,283.487,3556.112,921.486,--undefined--,--undefined--
0.345000,4,1648.454,14.257,1938.998,9.725,2571.581,168.231,3780.046,1932.119,--undefined--,--undefined--
0.350000,4,1645.830,30.340,1934.140,13.882,2651.558,127.458,4282.153,1851.128,--undefined--,--undefined--
0.355000,4,1647.891,20.119,1949.378,23.126,2673.976,140.838,4380.710,1600.814,--undefined--,--undefined--
0.360000,4,1640.718,14.711,1919.895,34.873,2705.703,227.794,4019.050,3105.865,--undefined--,--undefined--
0.365000,4,1562.732,36.892,1879.133,49.486,2688.607,458.241,3000.742,1969.687,--undefined--,--undefined--
0.370000,4,1504.685,41.346,1876.610,32.762,2516.905,381.716,3197.986,1039.987,--undefined--,--undefined--
0.375000,4,1523.138,65.174,1850.405,88.654,2388.596,361.003,3293.240,1081.740,--undefined--,--undefined--
0.380000,4,1477.481,59.896,1705.342,46.948,2334.038,203.051,3457.387,1089.044,--undefined--,--undefined--
0.385000,4,1437.324,24.510,1673.664,29.139,2308.861,225.373,3274.485,1109.086,--undefined--,--undefined--
0.390000,4,1466.447,43.814,1699.304,50.406,2100.448,292.641,3140.440,1076.947,--undefined--,--undefined--
0.395000,4,1602.115,67.515,1753.207,163.908,1949.805,276.428,3025.192,1021.212,--undefined--,--undefined--
0.400000,4,1542.051,70.649,1784.253,133.517,1855.191,160.723,2931.778,452.304,--undefined--,--undefined--
0.405000,4,1510.728,63.363,1749.101,118.720,1812.776,86.235,2943.662,338.997,--undefined--,--undefined--
0.410000,4,1467.154,65.575,1700.136,41.034,1836.610,44.973,3075.126,475.184,--undefined--,--undefined--
0.415000,4,1417.064,17.881,1697.327,55.556,1845.186,45.685,3284.255,766.744,--undefined--,--undefined--
0.420000,4,1427.255,16.430,1608.181,103.699,1822.614,19.609,3289.621,784.176,--undefined--,--undefined--
0.425000,4,1431.469,23.595,1581.653,56.959,1811.768,15.439,3371.649,746.625,--undefined--,--undefined--
0.430000,4,1446.357,43.961,1626.702,54.867,1824.393,36.786,3460.611,1019.884,--undefined--,--undefined--
0.435000,4,1460.317,29.623,1698.256,49.446,1834.094,90.002,3397.867,1155.652,--undefined--,--undefined--
0.440000,4,1445.595,29.965,1687.136,41.562,1857.293,116.732,3425.428,1189.067,--undefined--,--undefined--
0.445000,4,1443.816,40.967,1656.394,31.590,1921.756,127.680,3264.062,943.240,--undefined--,--undefined--
0.450000,5,1428.113,23.321,1676.250,23.619,2172.516,299.096,2993.618,1351.679,5360.723,338.592
0.455000,5,1470.459,40.015,1724.917,27.799,2250.425,295.611,2762.933,1243.842,5411.542,334.864
0.460000,4,1524.558,29.331,1756.500,55.007,2328.918,511.461,2679.442,715.436,--undefined--,--undefined--
0.465000,4,1543.567,65.431,1722.784,99.727,2231.090,598.249,2693.614,263.358,--undefined--,--undefined--
0.470000,4,1467.886,47.521,1730.150,68.166,2376.338,669.869,2664.867,225.007,--undefined--,--undefined--
0.475000,5,1508.723,61.123,1758.808,30.848,2607.743,130.043,2822.782,2114.813,5404.800,407.568
0.480000,5,1505.265,67.980,1730.766,33.712,2611.355,109.322,3761.751,3849.942,5350.657,571.541
0.485000,4,1458.950,39.878,1727.087,54.703,2576.582,175.404,3673.129,1596.606,--undefined--,--undefined--
0.490000,4,1464.318,19.669,1769.465,64.992,2536.849,326.527,3673.751,1458.163,--undefined--,--undefined--
0.495000,4,1478.446,27.922,1817.976,48.956,2595.931,221.933,4170.869,1519.578,--undefined--,--undefined--
0.500000,4,1516.320,32.448,1817.879,69.928,2548.184,215.839,4142.802,1690.296,--undefined--,--undefined--
0.505000,4,1475.394,67.902,1769.928,106.661,2505.555,137.278,3662.207,2098.144,--undefined--,--undefined--
0.510000,4,1450.227,82.233,1740.027,39.240,2558.037,133.744,3910.701,1434.054,--undefined--,--undefined--
0.515000,4,1514.437,71.319,1792.908,58.319,2558.560,399.470,3942.169,1298.760,--undefined--,--undefined--
0.520000,4,1469.179,30.634,1809.402,48.740,2587.222,372.060,3982.347,2365.829,--undefined--,--undefined--
0.525000,4,1485.609,34.444,1789.805,38.874,2580.078,272.436,4069.129,2118.170,--undefined--,--undefined--
0.530000,4,1528.208,41.324,1815.603,48.381,2492.601,163.225,3645.576,1318.749,--undefined--,--undefined--
0.535000,4,1505.800,32.424,1790.716,124.188,2496.241,159.089,3374.728,1243.154,--undefined--,--undefined--
0.540000,4,1505.214,28.332,1739.484,145.405,2458.138,248.694,3322.495,735.502,--undefined--,--undefined--
